dataset,point,x,y,sigma
0,0,2.272331,0.633754,1.050346
0,1,2.572211,-0.548491,1.093658
0,2,3.067225,0.313183,1.165153
0,3,4.184583,-2.402155,1.326534
0,4,6.240119,-5.173177,1.623415
0,5,7.067512,-4.985173,1.742916
0,6,9.033365,-9.742746,2.026845
0,7,9.602057,-15.309641,2.108982
0,8,9.690016,-10.854198,2.121686
0,9,9.786456,-11.108162,2.135614
1,0,2.037531,5.371843,0.939845
1,1,2.617135,4.883565,1.017250
1,2,2.913477,2.428301,1.056826
1,3,3.945449,2.092610,1.194643
1,4,5.330971,3.113416,1.379676
1,5,5.345167,5.745923,1.381572
1,6,7.312128,6.571413,1.644255
1,7,8.579398,2.555648,1.813496
1,8,8.794167,3.281851,1.842178
1,9,9.065246,1.005161,1.878380
2,0,0.090455,2.342855,0.723675
2,1,1.002671,0.729891,0.853358
2,2,1.531400,0.596578,0.928524
2,3,2.475810,0.463004,1.062784
2,4,3.832233,-1.981020,1.255617
2,5,7.027282,-6.795413,1.709835
2,6,7.085990,-8.284317,1.718181
2,7,7.458178,-9.351328,1.771093
2,8,8.017668,-7.428263,1.850631
2,9,8.488198,-9.528632,1.917523
3,0,0.816395,5.209577,0.611374
3,1,2.845070,7.669210,0.824612
3,2,4.266859,10.649108,0.974059
3,3,4.832195,11.557977,1.033483
3,4,5.101277,11.152812,1.061767
3,5,8.361175,16.419880,1.404422
3,6,8.570707,17.845548,1.426446
3,7,9.133413,17.619573,1.485593
3,8,9.224440,19.715439,1.495161
3,9,9.799382,17.310372,1.555595
4,0,1.355840,-2.901702,0.486926
4,1,1.834673,-3.175525,0.523610
4,2,2.921247,-2.411019,0.606854
4,3,3.456818,-3.297262,0.647884
4,4,3.666489,-3.311804,0.663947
4,5,3.891291,-2.332120,0.681170
4,6,5.130220,-4.181494,0.776085
4,7,5.661880,-3.904993,0.816816
4,8,6.300990,-3.817054,0.865779
4,9,8.904226,-2.088814,1.065215
5,0,1.545011,7.103167,0.791041
5,1,2.865247,6.339184,0.950607
5,2,3.218521,7.714305,0.993305
5,3,4.209483,10.014314,1.113074
5,4,4.729129,9.882628,1.175879
5,5,5.199533,8.254853,1.232733
5,6,5.402017,10.880955,1.257206
5,7,6.132062,14.190314,1.345440
5,8,6.182262,13.756414,1.351508
5,9,7.097510,13.885290,1.462126
6,0,0.600722,3.333652,0.723127
6,1,0.652241,2.675527,0.729779
6,2,2.422883,-0.900396,0.958392
6,3,2.469703,-0.072594,0.964438
6,4,3.394792,-3.015085,1.083879
6,5,3.966727,-2.151754,1.157723
6,6,4.618370,-1.967702,1.241859
6,7,5.153625,-2.001593,1.310967
6,8,6.437585,-4.227146,1.476744
6,9,8.717049,-5.545668,1.771053
7,0,0.632868,-1.902372,0.510083
7,1,1.094633,-1.427678,0.551898
7,2,1.198378,-2.399823,0.561293
7,3,2.803849,-1.071417,0.706676
7,4,3.585633,-1.018441,0.777471
7,5,4.363502,1.638622,0.847910
7,6,5.662909,3.420084,0.965578
7,7,5.728915,3.380565,0.971555
7,8,6.136262,3.427127,1.008442
7,9,8.445508,7.215727,1.217556
8,0,0.247012,3.768011,0.228006
8,1,1.814848,4.101315,0.296135
8,2,2.229629,3.768645,0.314159
8,3,2.311728,3.298197,0.317727
8,4,3.533653,3.146747,0.370825
8,5,3.682562,3.305645,0.377295
8,6,6.637493,3.077651,0.505700
8,7,6.694127,2.536421,0.508161
8,8,8.459037,3.967260,0.584854
8,9,9.831698,2.199258,0.644502
9,0,1.195685,-3.657539,0.199645
9,1,1.302759,-4.339421,0.203095
9,2,4.632632,-3.002116,0.310395
9,3,5.984590,-2.197045,0.353959
9,4,6.550728,-1.586138,0.372202
9,5,7.588529,-1.374713,0.405643
9,6,8.057215,-1.536771,0.420746
9,7,8.760739,-0.602819,0.443416
9,8,9.291860,-1.376276,0.460530
9,9,9.921749,-0.671998,0.480827
10,0,1.868770,-4.007409,0.806016
10,1,2.353694,-3.298381,0.862919
10,2,2.973304,-1.789558,0.935627
10,3,6.263605,1.152993,1.321728
10,4,6.637333,-2.214767,1.365583
10,5,7.878513,-3.590724,1.511229
10,6,8.144830,-0.449551,1.542480
10,7,8.547265,1.440902,1.589704
10,8,9.418253,-0.259447,1.691910
10,9,9.461459,-1.704337,1.696980
11,0,0.075776,2.900191,0.681773
11,1,0.168364,2.396009,0.694209
11,2,1.118427,1.527416,0.821820
11,3,3.106474,-1.536786,1.088853
11,4,5.467341,-6.900319,1.405962
11,5,5.812509,-7.743841,1.452324
11,6,6.338972,-5.664374,1.523038
11,7,7.774419,-10.775157,1.715846
11,8,9.595842,-11.676720,1.960497
11,9,9.773594,-12.133860,1.984373
12,0,0.033663,2.724435,0.607312
12,1,3.332638,6.474871,1.005334
12,2,3.398557,5.403399,1.013287
12,3,5.350135,6.035715,1.248745
12,4,5.595428,5.758803,1.278340
12,5,5.864431,6.677143,1.310795
12,6,6.885108,7.221042,1.433940
12,7,7.715975,6.717477,1.534184
12,8,8.319211,5.991395,1.606964
12,9,9.344103,7.648012,1.730618
13,0,2.882012,-2.055836,0.323071
13,1,2.884450,-1.979396,0.323171
13,2,3.409843,-1.185668,0.344706
13,3,4.417366,-1.706842,0.386003
13,4,5.568101,0.200478,0.433170
13,5,5.793224,-0.635503,0.442397
13,6,6.555354,-0.230736,0.473636
13,7,7.771211,0.210031,0.523472
13,8,8.242790,0.787207,0.542801
13,9,9.753546,1.503151,0.604725
14,0,0.273244,-4.474179,0.283469
14,1,1.244770,-4.064356,0.335695
14,2,2.352811,-4.694400,0.395259
14,3,3.126410,-5.263904,0.436844
14,4,4.438645,-4.923812,0.507385
14,5,6.090283,-3.600101,0.596170
14,6,8.010899,-4.460443,0.699415
14,7,8.124620,-2.448712,0.705528
14,8,8.149594,-3.494750,0.706871
14,9,9.493706,-2.965198,0.779125
15,0,0.779211,0.732601,0.530539
15,1,1.221889,0.526710,0.571177
