dataset,point,x,y,sigma
0,0,1.773532,-2.291662,0.860722
0,1,2.983028,-1.402688,0.860722
0,2,3.549173,-1.752847,0.860722
0,3,3.705005,-1.484653,0.860722
0,4,6.358708,0.819916,0.860722
0,5,6.527848,0.330366,0.860722
0,6,7.905182,0.030506,0.860722
0,7,9.051438,1.444205,0.860722
0,8,9.198502,2.502483,0.860722
0,9,9.669622,2.001047,0.860722
1,0,1.953976,-5.934068,0.738217
1,1,2.094161,-4.804328,0.738217
1,2,2.999915,-5.882299,0.738217
1,3,3.451006,-5.931169,0.738217
1,4,4.353132,-5.408303,0.738217
1,5,5.948659,-5.468801,0.738217
1,6,6.067097,-5.989879,0.738217
1,7,7.974623,-7.003416,0.738217
1,8,8.746241,-7.310874,0.738217
1,9,9.468198,-5.786051,0.738217
2,0,0.018024,0.435875,1.177489
2,1,3.721443,-3.496378,1.177489
2,2,4.162706,-2.862984,1.177489
2,3,4.201933,-5.082687,1.177489
2,4,4.699709,-6.208216,1.177489
2,5,4.948297,-6.538220,1.177489
2,6,5.484831,-7.165035,1.177489
2,7,5.771775,-8.067073,1.177489
2,8,6.215033,-8.008513,1.177489
2,9,6.756392,-6.084392,1.177489
3,0,0.236324,-0.832312,1.450157
3,1,0.928885,2.399562,1.450157
3,2,1.602743,-0.119101,1.450157
3,3,2.816135,2.337734,1.450157
3,4,2.977095,3.106179,1.450157
3,5,4.873631,5.052486,1.450157
3,6,6.209355,4.187226,1.450157
3,7,6.718260,5.571628,1.450157
3,8,8.883954,8.625861,1.450157
3,9,9.470621,8.315549,1.450157
4,0,0.677144,2.140097,0.579916
4,1,1.347615,2.502978,0.579916
4,2,4.028335,7.993933,0.579916
4,3,5.993160,10.578244,0.579916
4,4,6.068144,10.567541,0.579916
4,5,6.155083,11.033727,0.579916
4,6,6.283479,11.230700,0.579916
4,7,7.660363,13.911787,0.579916
4,8,8.142431,13.585686,0.579916
4,9,8.570787,13.438826,0.579916
5,0,1.178496,2.800366,1.357423
5,1,3.136667,2.451059,1.357423
5,2,3.186790,4.398747,1.357423
5,3,3.550610,2.044200,1.357423
5,4,4.730049,1.740597,1.357423
